SEL1,SEL2,GPO,RR1,RR2,RR3,RR4,GEN_AC,SEL1_MOD,SEL2_MOD,GPO_MOD,RR1_MOD,RR2_MOD,RR3_MOD,RR4_MOD,GEN_AC_MOD,RANGING
25.16,24.00,53.89,37.49,14.87,41.82,45.22,77.33,0.20,0.19,37.52,1.20,0.22,0.38,0.54,31.11,22.79
26.03,25.35,59.83,42.87,25.54,47.46,51.20,86.37,0.18,0.17,42.09,2.20,0.50,0.56,0.75,37.16,25.88
28.39,26.43,63.67,44.58,18.95,42.63,52.84,85.37,0.34,0.26,41.19,2.53,0.33,0.59,1.20,36.46,38.05
27.97,27.83,65.03,44.06,21.57,43.03,49.75,87.29,0.23,0.31,41.30,2.48,0.46,0.55,0.73,36.23,25.97
27.24,30.61,66.97,46.86,22.04,39.10,48.44,87.16,0.29,0.27,42.63,3.62,0.38,0.46,0.55,38.46,29.38
31.29,29.07,67.52,46.65,19.87,45.16,50.83,82.01,0.32,0.20,42.73,2.46,0.38,0.58,0.80,33.84,38.81
27.70,29.86,65.37,48.40,21.81,41.24,54.55,89.53,0.20,0.33,42.38,4.84,0.45,0.38,1.15,40.11,27.52
26.91,27.28,62.22,44.61,25.40,47.17,52.38,86.68,0.31,0.32,39.72,2.42,0.44,0.45,0.82,37.04,29.89
29.29,28.93,63.99,44.36,19.64,42.87,52.45,93.71,0.31,0.33,40.78,2.40,0.42,0.45,0.69,41.25,39.16
28.13,27.50,63.43,45.76,19.88,43.57,52.15,89.98,0.29,0.23,41.65,2.63,0.32,0.45,1.16,38.81,28.95
29.08,28.54,61.08,45.91,18.16,43.38,54.41,87.09,0.22,0.21,40.96,2.46,0.36,0.58,1.10,38.42,27.04
27.48,27.30,62.05,38.37,17.98,45.27,50.78,86.38,0.31,0.28,40.12,1.20,0.29,0.82,0.74,37.74,34.72
29.48,30.71,65.70,44.31,18.49,44.15,50.73,90.20,0.31,0.30,42.03,2.45,0.33,0.76,0.73,38.90,24.62
27.18,26.71,69.04,43.14,18.25,41.25,52.44,87.27,0.25,0.34,42.18,2.03,0.29,0.61,0.79,37.63,27.82
28.17,25.95,60.12,42.89,18.64,43.30,48.87,88.39,0.21,0.32,40.39,2.37,0.30,0.47,0.66,38.05,36.21
29.17,31.36,60.75,47.33,20.34,47.21,51.91,89.79,0.29,0.37,38.93,2.74,0.35,0.50,0.77,38.34,25.36
28.35,28.32,62.82,42.39,17.56,42.22,50.04,83.58,0.31,0.29,40.38,1.90,0.28,0.45,0.31,37.00,28.30
27.26,30.02,62.26,43.78,18.48,43.98,50.75,89.06,0.34,0.55,39.79,2.33,0.34,0.54,0.73,38.35,39.90
29.08,27.53,65.22,43.09,19.39,45.14,47.93,89.15,0.27,0.33,42.29,2.19,0.37,0.52,1.09,39.48,25.66
33.34,27.57,65.76,46.46,23.86,45.23,50.81,89.35,0.33,0.25,44.08,2.53,0.48,0.50,1.25,38.94,28.01
27.12,29.01,69.92,44.95,18.90,56.10,51.46,89.34,0.27,0.32,40.57,1.93,0.43,0.44,0.74,36.95,40.33
31.06,28.06,60.13,43.69,25.34,44.18,49.61,87.59,0.22,0.17,39.50,2.19,0.41,0.50,0.62,37.51,27.10
29.15,26.38,62.63,41.51,19.55,45.25,52.17,89.75,0.33,0.16,40.01,3.29,0.69,1.48,1.16,34.67,24.48
28.51,32.59,66.87,46.49,19.30,43.62,50.13,88.46,0.26,0.26,42.93,2.21,0.30,0.47,1.25,35.96,38.35
27.63,28.25,62.30,43.37,18.79,44.12,51.46,93.46,0.20,0.25,41.94,2.35,0.29,0.53,1.04,37.42,24.22
28.39,24.73,64.50,42.88,17.02,41.75,50.15,89.65,0.27,0.26,42.28,2.26,0.29,0.58,0.54,37.77,29.03
28.83,28.64,68.98,45.97,17.49,42.89,49.45,91.90,0.29,0.74,41.92,3.49,0.29,0.37,0.64,38.54,38.80
28.41,29.43,65.92,43.12,18.82,41.18,46.16,86.05,0.29,0.28,41.43,2.21,0.34,0.29,0.39,35.89,26.30
28.15,28.24,62.97,43.43,16.57,46.48,50.16,90.14,0.19,0.30,40.63,1.91,0.32,0.49,1.16,38.72,24.99
27.13,28.14,60.72,45.53,17.67,43.76,49.70,86.30,0.34,0.19,39.39,2.29,0.28,0.47,0.59,36.67,40.70
29.28,27.86,69.92,41.60,19.22,45.90,49.52,85.13,0.25,0.30,44.05,2.76,0.29,0.53,1.01,37.11,25.18
27.24,29.17,62.36,48.75,18.09,44.81,50.38,89.45,0.30,0.31,41.34,3.67,0.40,0.58,0.85,41.47,28.29
30.37,29.18,62.68,46.84,18.27,44.70,48.77,86.23,0.32,0.26,39.76,2.29,0.25,0.54,0.59,36.58,40.06
30.89,25.20,72.54,44.27,19.11,42.38,49.70,89.77,0.22,0.14,50.50,2.48,0.26,0.34,0.71,39.13,28.54
27.50,27.74,65.28,43.35,18.95,44.56,49.69,87.89,0.27,0.28,41.48,2.31,0.26,0.46,0.52,37.55,27.31
30.66,31.62,63.66,45.41,18.02,44.46,50.82,87.30,0.34,0.28,40.40,2.56,0.30,0.49,1.27,36.26,40.52
27.92,26.24,63.85,42.54,18.88,42.94,48.74,91.52,0.27,0.24,40.46,3.41,0.27,0.45,0.63,39.50,25.00
27.27,26.85,62.02,44.73,18.96,49.20,47.79,86.08,0.34,0.37,41.31,2.51,0.35,0.50,0.59,38.41,24.99
28.65,30.44,63.68,42.72,20.53,40.78,46.84,90.87,0.21,0.27,41.77,2.67,0.35,0.24,0.53,38.15,37.03
27.41,26.46,58.75,42.79,17.23,46.05,54.35,89.71,0.28,0.20,40.49,2.10,0.28,0.48,1.18,36.81,25.36
